start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
9116,9136,1.0,"[1130, 74, 120]",2,6,20.53138753764188,1.4142135623730951,2.0518119396395407,1.4320723379801992,1.432757190557444,
9146,9152,0.3,"[1131, 72, 118]",2,2,6.63284688441047,1.4142135623730951,1.4822365327802307,0.9610783610224594,,
9155,9173,0.9,"[1131, 72, 118]",3,11,18.214913796381698,3.6502815398728847,4.242000793947431,2.993083886645918,1.4172675924232325,
9187,9189,0.1,"[1131, 72, 120]",2,2,3.5637918745545254,1.0,0.12740001281653057,0.29642791758638715,,
9191,9197,0.3,"[1131, 72, 120]",2,7,17.632846817355244,1.0,0.4872307670967992,0.45668836309663585,,
9197,9220,1.15,"[1131, 72, 122]",3,47,36.16423435499712,2.0,1.456001037551923,1.5690246870897706,0.9279656652519063,
9228,9230,0.1,"[1132, 72, 122]",2,4,17.632846817355244,1.0,0.14971667248568002,0.1199064192323113,,
9231,9233,0.1,"[1132, 72, 122]",2,4,17.632846817355244,1.0,0.0,0.0,,
9236,9245,0.45,"[1129, 72, 122]",2,16,29.283156037846794,1.0,0.7809665793807711,0.6851963521035156,,
9253,9254,0.05,"[1128, 72, 122]",2,4,18.53138753764188,1.0,0.008709518452019262,0.004755397627105118,,
9254,9260,0.3,"[1128, 72, 122]",3,28,36.16423435499712,2.0,0.004755397627105118,0.029400003162908,,
9263,9267,0.2,"[1128, 72, 122]",2,2,3.5637918745545254,1.0,0.5640863300172722,0.6875783164272462,,
9270,9271,0.05,"[1131, 72, 123]",5,14,28.32422244101882,4.0,0.020879903621148017,0.011400428701363678,,
9271,9277,0.3,"[1131, 72, 123]",2,4,18.53138753764188,1.0,0.021023714487416235,0.03901680249725813,,
9278,9280,0.1,"[1131, 72, 123]",2,5,17.632846817355244,1.0,0.25299363092975974,0.21402612726130385,,
9280,9304,1.2,"[1131, 72, 123]",5,15,28.32422244101882,4.0,2.7324350853787607,2.2331362852391545,1.2235863540617427,
9310,9311,0.05,"[1131, 72, 124]",2,2,3.5637918745545254,1.0,0.04081675572728666,0.12028538451856696,,
9320,9323,0.15,"[1131, 72, 124]",2,2,3.5637918745545254,1.0,0.3243604371528802,0.43190083679006,,
9329,9330,0.05,"[1135, 71, 123]",5,47,34.63728352169759,6.650281539872885,0.04082922256433322,0.022292758109487915,,
9334,9337,0.15,"[1135, 71, 123]",2,2,3.5637918745545254,1.0,0.3243604022246781,0.43190079386427166,,
9339,9380,2.05,"[1135, 71, 123]",4,31,31.073491647143065,5.650281539872885,9.046110623146607,4.247915920078842,2.129540883892709,
9391,9392,0.05,"[1136, 70, 126]",5,38,37.55644322650767,7.99070478491457,0.0,0.0,,
9393,9406,0.65,"[1136, 70, 126]",2,6,20.53138753764188,1.4142135623730951,1.7152277931873514,1.2093067245182227,1.4183562849786377,
9407,9418,0.55,"[1136, 70, 126]",4,35,35.204635137793346,6.576491222541475,1.5335024343756738,1.151418317385248,1.3318377962390762,
9419,9421,0.1,"[1136, 70, 126]",4,27,32.79967141616695,7.324555320336759,0.09800000382813986,0.1515080121333018,,
9422,9424,0.1,"[1136, 70, 126]",4,27,32.79967141616695,7.324555320336759,0.34012740505623323,0.2837095885594525,,
9425,9426,0.05,"[1136, 70, 126]",5,61,42.12067301433315,8.738768882709854,0.18210789391469695,0.09943092162669506,,
9437,9482,2.25,"[1136, 70, 126]",5,88,42.12067301433314,8.738768882709854,11.056272127584034,7.676214816970696,1.44032865040992,
9484,9588,5.2,"[1136, 70, 126]",15,573,76.9402631873095,18.135562914111457,21.798240795748686,9.529246720831482,2.287509331466513,
9600,9601,0.05,"[1137, 69, 124]",2,3,9.321001598166195,1.4142135623730951,0.0,0.0,,
9610,9614,0.2,"[1137, 69, 124]",2,3,9.321001598166195,1.4142135623730951,0.4302313994123596,0.5289063796978488,,
9624,9649,1.25,"[1136, 65, 125]",4,29,24.15048724154166,4.414213562373095,5.58462865824553,3.3225967812301134,1.6808024042501937,
9667,9668,0.05,"[1136, 65, 125]",3,3,7.127583749109051,2.0,0.0,0.0,,
9668,9695,1.35,"[1136, 65, 125]",8,15,24.946543121881678,7.0,6.268533483494262,5.350302393981033,1.1716222788727266,
